,댓글 작성자,댓글,좋아요 개수,하트 유/무
524,플마트,저럴때는 샤답 샤답 하고 무시하면 됨,0,없음
525,아리아ARIA ٩(๑•̀o•́๑)و,"아니;; 우기는게 아니라, 우리 땅이 잖아;;  우기는게 아닌 사실이라고;; 아니;;",0,없음
526,정민지,ㅋㅋㅋㅋㅋㅋㅋㅇㄴ 화나기보단 그냥 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한국와서 제대로 독도에대해 공부해보면  하나도 모를거면서 눈막고 귀막고 응 다케시마야~ 이러는거 ㅈㄴ 수치스럽겠닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,327,없음
527,언어가대박이다,3:56 전혀 안밀리는게 개웃김,0,없음
528,김봉수,설민석이 진실을 설명하고 마동석이 진실의 방으로 데려가면 될듯,0,없음
529,소이,지들이 제일 잘 알면서 ㅇㅈㄹㅋㅋㅋㅋㅋ 일본도 애쓴다 ㅉ,0,없음
530,반전그림,지식이없어지식이!  이러는게 개웃김 ㅋㅋㅋ,1,없음
531,문대롱이,울릉도 동남쪽 백길따라 200리 외로운 섬하나 ...  대한민국 사람이면 독도의 위치를 모를수가 없다..,0,없음
532,박드라이버,저런놈들이 36년간 지배했으니 우리들 조상이  얼마나 힘들었을까  되갑아 주고싶다 진심,157,없음
533,•ɞ•,우리쌤이 일본인들이 아주 예의바르고 친절해서 일본정부만 나쁘구나 했는데 이게뭐야...그리고 나였다면 쌍욕날렸을텐데 대단하심..,0,없음
534,박태빈,13:48 물어보고 말할라니까 입 막아버리고 다시 물어보네ㅋㅋㅋㅋㅋ,2,없음
535,Ramen eat Lemon,이건마동석들와서 다 쓰러트려도 할말없다,1,없음
536,이서연,전세계 어린아기까지 알도록 우리도 알려야해요 나라힘이 쎄야합니다 지하에서 열사들 울고계십니다,1,없음
537,조조수현,일본은 양아치같이 행동하네~,2,없음
538,이정민,"확실히 문제가 있는 나라인듯. 교육을 어떻게 했으면 ""독도는 일본땅이다! 근데 어디있는지는 모른다!"" 이런말이 나오지.. 할거면 확실히게 하든가.. 이도저도 아니니까 우리가 더 화내지.. 우리도 고개 끄덕일만한 증거있어서 저러는게 아니잖아",156,없음
539,푸른하늘,이런건 전세계인이 공유 했으면 좋겠다. 이게 일본의 본모습이지~ㅋㅋㅋ,1,없음
540,ᄃᄄ,딱 그거네 형: 이거 내꺼야! 숙제할때 써야한다고! 동생: 아니야 이거 내꺼야! 형: 이게 뭔줄알고?,4.1천,없음
541,ケチャマヨポテト,근데 일본에서 자란 나로서는 이런 사람들이 존재 한다는 것이 정말로 유감이네… 일본의 교육을 받고 독도문제에 관심이 있는 일본 친구랑 대화도 나누는데 이건 정말 전쟁이라도 일어나지 않으면 해결 못할 듯.(제가 국어 공부를 제대로는 안해서 문장이 이상 할수있지만 양해 바람),1,없음
542,민트샌즈,한국한테 취재진:독도 어디있는지 알아요? 한국:네(사회시간에 배운거 술술)                일본한테,1,없음
543,푸르문[フルムーン],말리니까 더 크게 얘기하네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
544,{신기한 일상},잼민이랑 말빨로 싸우면 저 사람 들 맨탈 깨질듯ㅋㅋㅋㅋㅋㅋㅋㅋ,3,없음
545,RUNAWAY,나였으면 큰소리 했다.. 자꾸 옆에 와서 촬영방해하는 역시 일본.. 하는 짓이 손가락질만 봐도 추해..,0,없음
546,손장원,독도가 어딘지도 몰르면서 지들꺼래 ㅋㅋㅋㅋ 자기 자식 아닌데 이름도 모르면서 자기꺼라고 하는거랑 뭐가 달라 ㅋㅋ,148,없음
547,탐색TV,안이 자기들이 강치도 죽여으면서 화내는것보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
548,탈크리스,이렇게 독도관련방송을 자주티비에서했으면좋겠어요.집콕하는분들많은 코로나시국에 티비에서보고 유튜브로보고 전세계 외국인들이 독도관련영상들을 보게될때마다 우리나라에 도움이될것같아요.독도가 우리나라땅임이 진실이니까.,0,없음
549,Harang Lee,독도가 뭔지 모르는데 자기 땅이란다,1,없음
550,모성덕,일본인들은 무조건  자기 나라에서 말하는데로 우기는 특성이있다. 저들은 진실은 알려고도 안한다. 무조건 우긴다.애국심 하나는 일등이다.,0,없음
551,에르스트,안경잡이가 미는데 안밀리는거 갸웃기네,1,없음
552,루카스,일본: 바보들아 일본에선 일본어 해 한국: 니들은 한국에서 한국어 안하잖아 일본: ...,366,없음
553,비상식량,"일본이랑 우리나라랑 같은점은 한사람이 시작하면 모두가 같이 모인다는 점이고 다른 점이 있다면 일본은 한국의 의견을 듣지도 보지도 읽지도 않은 채 무 논리로 주장을 해오고, 우리나라는 역사를 바탕으로 논리있는 말을 한다.",0,없음
554,권도형,왕뚜껑쌤 빨간펜 라이브 강의 잘 들었어요!!,17,없음
555,코코,근데. 일본인은 싸움을 싫어하는.. 유전자가 있는데 진짜 인가요?,0,없음
556,김용남,하 진짜 잼민이도 참교육 마렵네,0,없음
557,근룬YOUTUBE,독도가 일본땅이면 일본은 한국땅이다 ㅋㅋ,2,없음
558,한소희,"도쿄를 유럽에서 찾는 미국인이나, 독도가 어딨는지 모르는 일본인이나 ㅋㅋ 남의 땅이다 보니까 관심이 없는 듯",153,없음
559,daxiong mao,(한국어를 공부하는 일본 사람이니까 제 서투른 한국어를 이해 해주세요.) 저도 중학교에서 “타케시마는 일본의 영토” 라고 배웠는데 요새 한국도 일본도 연구자분들이 여러 자료나 문서를 발견하니까 뭐가 옳은지 갈피를 못 잡겠어요. 이미 섬 조건을 충족시키지 않다는 자료가 있는것도 알아요. ,1,없음
560,geni us,1:25 여기서부터 교육 차이가 나네. 우리는 싸우고있다고 안배우고 당연히 우리지역이라 배우는데.,221,없음
561,김보민,3:54 안밀리는게 킬포 ㅋㅋㅋ,2,없음
562,ᄋ 몰랑인ᄃ,사회시간에 퀴즈하다가 7개 문제중에서 6개 틀린나는..ㅎ,0,없음
563,카리스,일본 현 정부 아베가 잘못한거지 옛일본정부는 착해요 일본주민들은 옛정부를보고 독도는한국땅 인걸 좀 배워야 할것 같습니다,0,없음
564,삭제된계정입니다.,김구라씨가 빡친게 눈썹으로도 보여요,0,없음
565,모해,선거 잘 해야합니다 일정기가 수면위로 올라오고있어요,0,없음
566,오오선호,일본인: ㅈ도 모르면서 일단 씨부림 한국인: 근거를 제대로 얘기하고 씨부림  + 왜 싸우고있는지 모르겠는데,722,없음
567,화진,아 국어시간은 엄청 싫지만 국어시간에 배운 토론이 하고 싶어진다,0,없음
568,발코니,우익들에에 독도가 한국령으로 표기된 일본 고지도에 다케시마가 어디인지 가리켜 보도록하는 어떨까요? 그들의 고지도에 독도가 한국령으로 표기 되어있음을 인식시키는것 아닐까요,0,없음
569,바나나 파워~,"다케시마가 어디있는지도 모르는데 지들은 ""독도는 일본땅이다""이렇게 말하네? 그리고 시비?한국인한테 시비? 일본이들아 우리한국 K-잼민이 말싸움 못이겨 이것들아",0,없음
570,김재우,개인적으로 김구라씨 이방송에 적역인듯ᆢ,0,없음
571,신지,일본분들 불쌍하시다..그렇게 배웠스니깐 하는거 아니야..같이욕이나 먹고..  ( ͒ ́ඉ .̫ ඉ ̀ ͒),0,없음
572,X xx,설민석씨랑 마동석씨랑 다시 가서 이론적 설명은 설민석씨가 하고 물리적 설명은 마동석씨가 합시다.,3.8천,없음
573,MoonLight,일본 역사시간 선생님:여러분 다케시마는 일본의 영토입니다! 시험에 꼭 나와요~ 학생:왜요? 선생님:원래부터 그랬어요^^,0,없음
574,마마무는사랑,그래도 학교에선 일본어를 배워야하다니.. 참...하하...,0,없음
575,Kim Hyo min,아프다,0,없음
576,독사,저자리에 내가있었으면 얼마나 좋았을까 이렇게 영상으로만 보고있는게 너무 아쉽고 끓는다,0,없음
577,광수 최,기념상품 샀을때 그사람 그나마양심있네,1,없음
578,Soo Ellen,DOKDO is KOREA's territory - NOT Japan's territory  - NO Dakeshima - NO MORE ILLOGICAL INSISTS,1.9천,없음
579,나는 베이징의 천안문을 사랑해我爱北京天安门,웃긴게 일본이 군인대우랑 청결이 더 좋음GDP도,1,없음
