,댓글 작성자,댓글,좋아요 개수,하트 유/무
79,Леонид Владислав,난 처음 사람들이 김연아에 열광할때 직장생활이 너무 힘들고 야근에 너무 살기 힘들어서 어휴 걔가 누구인데 난리들인가 하고 부정적으로 생각했지...근데 우연찮게 본 올림픽에서의 연기력과 인간같지 않은 아름다움에 놀랐고 한국국기가 맨 위로 올라간거보고 자랑스러웠으며  다큐에서 본 열악한 환경과 통증과의 싸움.울면서도 스케이트를 타는 모습을 보고,141,없음
80,핑핑,해설진반응 나오는순간 나도모르게 울컥했네...,1,없음
81,엘상산시리즈,연아 킴   세계적으로  대체불가한 인물 중 하나 .....,541,없음
82,블루사파이어2463,그때 생각하면 정말김연아 선수  얼마나 허탈했을까 얼마나 눈물이 나던지  김연아 선수 당신은 피겨 여왕입니다 영원히 국민들을 기쁘게 해줬던 울 멋진 선수 앞으로 좋은일만 가득하길 바랄께요👍🇰🇷💞,1,없음
83,ᄒ홍익인간,금메달은 오니었지만 세계가 인장하는 은메달이었다 그리고 러시아의 수준이 드러나는 순간이기도했구 나름 멋졌어 그냥 금메달보다 완젼 기억에 남는 진짜 멋진 은메달이었는데 오히려 모두가 분노하면서 축복하면서 완전 뇌리에 빡 하고 박히는 그런 순간이라 마지막무대라서 더더더 좋았음,0,없음
84,Jacobine,왜 우리 스포츠를 망가뜨리려고 하나요.. 해설자의 진심이 담긴 소리..,3,없음
85,코리안몬스터,김연아 실력도 실력이지만... 인성과 외모 그모든게 완벽한 사람...,2,없음
86,뼈때리기,만들어진 영웅과 만들어준 영웅의 차이지 맨탈이 나갈만 상황에도 웃음을 잃지 않는 영원한 여왕,0,없음
87,Willow star,이탈리아 제일 대놓고 빡쳐한닼ㅋㅋㅋ기분은 백번천번만번 이해감ㅇㅇ 지금도 빡친다 금메달 훔쳐간 형광나방...,5.7천,없음
88,AirRaid2010,대한민국 스포츠 외교력이 가장 아쉬웠던 순간. 편파판정 해달라는게 아니라 안당하게 하고 우리에게 말도 안되는 판정 내린 심판이 불이익을 받게는 해야함.,1,없음
89,짜잔,어차피 금메달은 김연아인건 세상이 다아니까...퀸연아는 우리 마음속 영웅이었다.,15,없음
90,ㅎㅅㅎ,진짜 저건 ㅇ있을 수없는 일임... 진짜 억울함..,0,없음
91,JK애비스,아직도 제대로 잘 못보는 영상 ㅠ 그날의 분노와 허탈감을 잊을 수가 없습니다... ㅜㅜ,111,없음
92,야구매냐,이때 라이브로 김연아 연기보고 진심 울었는데ㅠ,0,없음
93,ghibely Kim,다시봐도 ㅂㄷㅂㄷ.... 소트니코바가 가서 안긴게 심사위원임 ㅋㅋㅋㅋㅋㅋ 말이됨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심사위원이랑 친목질 오지구 지리구 레릿고찍엇네 아주,1.6만,없음
94,트리플S,우리나라에서 불모지와 같은 스포츠에서 나온 위대한 선수중 1인. . .김 연아! 순리대로 바르게만 흐른다면 문제 없겠지만 보이지 않는 힘이 존재하는 세상이기에 국적이 약점이 된 우리나라 스포츠 선수중 한명이죠,0,없음
95,ㅎㅅㅎ,솔직히 이때 생각하면 엄청 울분터짐.. 그래도 김연아는 그날 금매달이다.. 갓연아는 변하지않아,0,없음
96,빛별,분노해 주는 해설자들 진짜 멋있다 금메달 열개 줬어도 부족했을 퀸이다 젠장 왜 아직도 자꾸 눈물 나냐,2,없음
97,Tiffany,저때 압박 엄청 받았었는데 자기 딸 지켜보는 어머니 마음은 얼마나 무너졌을까..ㅠㅠㅠㅠㅠ,0,없음
